Feature,Mean,Standard Deviation
Feature 1,1.1574075031717258e-15,0.9999999999999999
Feature 2,-1.6628113027908594e-15,0.9999999999999999
Feature 3,7.176077913713512e-16,0.9999999999999999
Feature 4,-5.823624410988321e-15,0.9999999999999999
Feature 5,-4.662936703425658e-16,1.0000000000000002
Feature 6,6.436265661849658e-15,1.0
Feature 7,-3.125782461149191e-15,0.9999999999999999
Feature 8,5.992176451999595e-15,1.0
Feature 9,1.793514831599003e-15,0.9999999999999999
Feature 10,-9.49947191615634e-15,0.9999999999999998
Feature 11,-4.574118861455645e-15,0.9999999999999999
Feature 12,5.366414383574507e-15,0.9999999999999999
Feature 13,1.8968034214013455e-14,1.0000000000000002
Feature 14,3.3861802251067274e-15,1.0000000000000002
Feature 15,-1.077420980715777e-15,1.0
Feature 16,-2.111442334105298e-15,1.0
Feature 17,1.2076198626945452e-14,1.0000000000000002
Feature 18,1.1573128818912178e-14,1.0000000000000002
Feature 19,5.761048204145812e-15,0.9999999999999999
Feature 20,1.5694516393564713e-15,0.9999999999999996
Feature 21,-2.077126349707793e-15,1.0000000000000002
Feature 22,-9.356152216613818e-15,1.0
Feature 23,-6.632320955061873e-15,0.9999999999999999
Feature 24,6.469099246185873e-15,0.9999999999999999
Feature 25,1.368602201265193e-15,0.9999999999999999
Feature 26,1.0469403122215226e-14,1.0
Feature 27,3.3750779948604757e-15,1.0
Feature 28,1.0847383597417154e-14,0.9999999999999996
Feature 29,-2.184111477535308e-15,1.0
Feature 30,-1.518179521491964e-14,1.0
Feature 31,6.136505445200865e-16,1.0
Feature 32,-1.5376588891058418e-15,0.9999999999999998
Feature 33,1.5785352822852226e-15,1.0000000000000002
Feature 34,2.4949739244303518e-15,0.9999999999999998
Feature 35,6.580594655050928e-16,1.0
Feature 36,7.004497991725988e-16,1.0000000000000002
Feature 37,2.3375241136653296e-15,1.0
Feature 38,3.567853083681753e-15,0.9999999999999998
Feature 39,-1.5454304502782178e-14,1.0000000000000004
Feature 40,-4.229855102541339e-15,1.0
Feature 41,-2.6226495722622446e-15,1.0
Feature 42,1.972159809197778e-15,0.9999999999999997
Feature 43,-1.8268215223377574e-15,1.0000000000000002
Feature 44,3.417972975357357e-15,1.0000000000000002
Feature 45,-2.3486263439115813e-15,1.0000000000000002
Feature 46,2.7321579342366353e-15,0.9999999999999998
Feature 47,3.3296597802167196e-15,1.0
Feature 48,-7.5697024406260675e-16,1.0000000000000002
Feature 49,-3.723284307129275e-15,1.0
Feature 50,2.015054789694659e-15,0.9999999999999997
Feature 51,1.1809745101035415e-14,0.9999999999999997
Feature 52,8.841412450651247e-16,0.9999999999999999
Feature 53,-1.099120794378905e-15,1.0
Feature 54,-3.0389832064966783e-15,1.0
Feature 55,4.632657893663153e-15,1.0
Feature 56,1.1092137309664064e-14,1.0
Feature 57,6.622984988718434e-15,1.0
Feature 58,-2.3269265302484533e-15,1.0
Feature 59,-2.8785055147554057e-15,0.9999999999999997
Feature 60,-7.660538869913581e-16,1.0
Feature 61,1.1606877075626636e-16,1.0
Feature 62,4.581183917066896e-15,0.9999999999999999
Feature 63,8.962527689701263e-16,0.9999999999999996
Feature 64,-8.766724719903737e-15,1.0000000000000002
Feature 65,-3.623111911498323e-15,0.9999999999999998
Feature 66,-2.4248280151472168e-15,0.9999999999999999
Feature 67,3.9059664593630505e-15,1.0
Feature 68,-4.485301019485632e-15,0.9999999999999998
Feature 69,-6.141551913494616e-16,1.0
Feature 70,2.263845676576569e-15,0.9999999999999997
Feature 71,-3.04907614308418e-15,1.0
Feature 72,-3.5779460202692544e-15,0.9999999999999996
Feature 73,4.2804144067593535e-15,0.9999999999999999
Feature 74,2.079649583854668e-15,1.0
Feature 75,2.3001802482915744e-15,0.9999999999999999
Feature 76,-1.4547706473809864e-15,1.0
Feature 77,5.041421825456961e-16,0.9999999999999994
Feature 78,4.481263844850632e-15,0.9999999999999999
Feature 79,2.5131412102878544e-15,0.9999999999999999
Feature 80,-1.2626263670964281e-14,0.9999999999999994
Feature 81,2.595777128598022e-16,1.0
Feature 82,-8.094535143176141e-16,0.9999999999999996
Feature 83,2.221455342909063e-15,1.0000000000000004
Feature 84,1.1723955140041652e-14,0.9999999999999999
Feature 85,-8.658856460124814e-15,0.9999999999999999
Feature 86,8.267124358822416e-15,1.0
Feature 87,-2.0185873175002848e-15,1.0
Feature 88,-9.305687533676311e-16,1.0000000000000002
Feature 89,8.308694641392188e-15,1.0
Feature 90,-3.1644510244500557e-15,0.9999999999999999
Feature 91,-3.5335370992842483e-15,0.9999999999999999
Feature 92,-3.979644896451811e-15,1.0000000000000002
Feature 93,5.197862342563233e-16,1.0
Feature 94,1.0877662407179658e-15,1.0
Feature 95,-3.4921560592754924e-16,1.0
Feature 96,1.1176917976999076e-14,1.0
Feature 97,-1.0234237699726444e-15,1.0
Feature 98,-2.3691907022086153e-15,0.9999999999999999
Feature 99,6.693635544830944e-15,1.0
Feature 100,4.602000598778618e-15,1.0
Feature 101,-6.616929226765933e-15,1.0
Feature 102,-6.140542619835866e-15,0.9999999999999999
Feature 103,7.679715449429833e-15,1.0000000000000002
Feature 104,6.863196879500968e-16,1.0
Feature 105,1.899490665767768e-14,0.9999999999999998
Feature 106,2.510617976140979e-15,0.9999999999999998
Feature 107,2.1976360125625598e-14,1.0000000000000002
Feature 108,7.459184784992927e-15,0.9999999999999999
Feature 109,-5.431513824563891e-15,1.0000000000000002
Feature 110,-8.276208001751167e-17,0.9999999999999997
Feature 111,1.0744940291054015e-14,0.9999999999999998
Feature 112,3.461877249512988e-16,1.0
Feature 113,2.0707551834869327e-15,1.0000000000000002
Feature 114,1.1835482089333544e-14,1.0
Feature 115,-1.432187701766452e-15,1.0
Feature 116,1.907565015037769e-16,0.9999999999999999
Feature 117,-5.490557503600774e-16,0.9999999999999998
Feature 118,3.6839218544380196e-16,0.9999999999999999
Feature 119,2.2086373134429364e-14,0.9999999999999999
Feature 120,1.538163535935217e-15,1.0
Feature 121,-1.2246769255274227e-14,0.9999999999999999
Feature 122,1.417754802446325e-14,1.0000000000000002
Feature 123,-3.9968028886505635e-15,0.9999999999999997
Feature 124,1.0970012776955297e-14,1.0
Feature 125,5.572057966544848e-15,0.9999999999999998
Feature 126,-1.27675647831893e-16,1.0
Feature 127,-1.085293471254028e-14,1.0
Feature 128,-4.773959005888173e-15,1.0
Feature 129,3.453361334267284e-15,0.9999999999999999
Feature 130,-4.105806603795579e-15,0.9999999999999999
Feature 131,-3.0147601586866753e-15,1.0000000000000002
Feature 132,7.847258196782357e-15,0.9999999999999989
Feature 133,4.7537731327131705e-15,1.0
Feature 134,9.810334363051383e-16,0.9999999999999992
Feature 135,5.444129995298268e-15,1.0000000000000002
Feature 136,6.682533314584692e-15,0.9999999999999997
Feature 137,-9.023085309226272e-16,1.0
Feature 138,-5.7025091719383044e-15,1.0
Feature 139,-1.0341222827553958e-14,1.0
Feature 140,-1.715799219875242e-15,0.9999999999999996
Feature 141,1.660994574205109e-14,1.0
Feature 142,-6.970182007328483e-15,0.9999999999999999
Feature 143,9.527732138601344e-16,1.0
Feature 144,2.76748321229289e-15,0.9999999999999996
Feature 145,3.582992488563005e-15,1.0
Feature 146,2.3642703956222085e-15,1.0
Feature 147,7.37995523278104e-15,0.9999999999999997
Feature 148,4.32583262140311e-15,1.0000000000000004
Feature 149,-6.5482972579709236e-15,1.0
Feature 150,2.396063145872838e-15,1.0
Feature 151,-2.5434200200503587e-16,0.9999999999999999
Feature 152,7.16295709614976e-15,1.0000000000000002
Feature 153,-3.596113306126757e-15,0.9999999999999996
Feature 154,2.667764998808376e-14,1.0
Feature 155,-2.086209992636544e-14,0.9999999999999999
Feature 156,2.300811056828293e-15,0.9999999999999997
Feature 157,-4.437359570695001e-15,0.9999999999999999
Feature 158,2.644349385925373e-16,0.9999999999999997
Feature 159,-2.934521312816039e-15,0.9999999999999999
Feature 160,1.297547927689183e-14,0.9999999999999997
Feature 161,-1.3595185583364418e-15,0.9999999999999998
Feature 162,-2.26889214487032e-15,1.0
Feature 163,1.7763568394002505e-15,1.0000000000000002
Feature 164,-1.596929659215944e-14,0.9999999999999999
Feature 165,-3.9988214759680636e-15,1.0
Feature 166,2.169981366312806e-15,1.0
Feature 167,3.1166988182204396e-15,0.9999999999999999
Feature 168,-3.877706236918047e-15,1.0
Feature 169,1.1076997904782811e-16,0.9999999999999998
Feature 170,-6.167288901792744e-15,1.0
Feature 171,-1.0458679377091006e-14,0.9999999999999999
Feature 172,-1.061019958761087e-15,0.9999999999999997
