,Gender,count,unique,top,freq
LOC115710528,Female,69.0,13.0,6.340436184,8.0
LOC115710528,Male,69.0,27.0,6.322399335,8.0
LOC115711364,Female,69.0,69.0,7.545762137,1.0
LOC115711364,Male,69.0,69.0,9.309640597,1.0
LOC115715135,Female,69.0,24.0,6.334141332,4.0
LOC115715135,Male,69.0,69.0,7.58297638,1.0
LOC115715939,Female,69.0,69.0,8.273267963,1.0
LOC115715939,Male,69.0,45.0,6.346600386,4.0
LOC115723239,Female,69.0,39.0,6.331677967,4.0
LOC115723239,Male,69.0,69.0,8.143807805,1.0
LOC115723257,Female,69.0,42.0,6.356021832,4.0
LOC115723257,Male,69.0,69.0,7.242603814,1.0
LOC115723531,Female,69.0,39.0,6.341276483,4.0
LOC115723531,Male,69.0,69.0,7.6158893,1.0
LOC133032448,Female,69.0,52.0,6.359815917,4.0
LOC133032448,Male,69.0,69.0,8.454761717,1.0
LOC133037284,Female,69.0,24.0,6.322284932,4.0
LOC133037284,Male,69.0,69.0,7.185206336,1.0
LOC133037430,Female,69.0,69.0,8.361346981,1.0
LOC133037430,Male,69.0,64.0,6.316595415,3.0
